text_id,annotators_id,text,initial_paragraph,topic,is_noise_or_spam_text,related_to_election_2024,toxicity,polarized,profanity_obscenity,threat_incitement_to_violence,insults,identity_attack,sexually_explicit
1-1,"['7', '15']",Wajah Jurnalis Dibalut Perban Saat Melaporkan Kondisi di Gaza 2023,"“️Jurnalis Hana Mahamed kembali tampil di televisi dengan wajah terluka akibat serangan Israel di Gaza Keinginan yang dilakukan di dunia saat ini untuk memperkenalkan wajah sebenarnya dari rezim Zionis kepada publik adalah hal yang belum pernah terjadi sebelumnya, semua orang di semua posisi membicarakan keruntuhan rezim tersebut dengan kekejamannya. Jeda 4 jam dalam serangan tentara Zionis di Gaza bukanlah gencatan senjata Tentara Israel mengumumkan akan menghentikan serangannya di Jalur Gaza selama 4 jam mulai pukul 10.00 waktu setempat hingga 14.00 waktu setempat. Jurnalis Palestina Mohammad Al-Jajah menjadi syahid dalam serangan pesawat tempur Israel di Gaza pagi ini. Channel 13 rezim Zionis mengumumkan Menteri Israel Gila Gamlil akan ditunjuk untuk menangani kasus tahanan dan orang hilang di Gaza. Batalyon Qassam mengumumkan bahwa sejak dini hari, mereka telah menghancurkan 4 senjata dan peralatan militer rezim Zionis di sekitar kamp Shati dan lingkungan Sheikh Rizwan dengan rudal Yasin 105.”",UNKNOWN,"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-10,"['7', '15']","Elektabilitas Paslon 02 sebentar lagi terjun bebas gara2 Gemoy, joget, susu gratis, makan gratis, politik dinasti, cacat hukum, Ijazah dan tidak hadir",,Disabilitas,"['0', '0']","['1', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-100,"['7', '15']","Gini aja deh @KPU_ID usul aja nih. Gimana kalo misalnya gak usah ada debat aja kalo ga boleh dikritik ? Diubah jadi lomba joget siapa yang paling  GEndut SeMpOYongan 😂🤦👎 Menarik gak ? Atur lah, kalian kan penguasa.. 😁",,Disabilitas,"['0', '0']","['1', '0']","['1', '0']","['0', '0']","['0', '0']","['0', '0']","['1', '0']","['0', '0']","['0', '0']"
1-1000,"['7', '15']",Relawan Tionghoa Kalbar yg di Jakarta mendeklarasikan dukungan kepada Ganjar Pranowo. Mario Dandy Bu D Megumi Putri Ariani Mamat Cilacap Mahkamah Konstitusi,,Tionghoa,"['0', '0']","['1', '1']","['0', '0']","['1', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1001,"['10', '18']","Kristen, Hindu, Islam dapat perlakuan istimewa dari pak Anies Ncep ketar-ketir",,Kristen,"['0', '0']","['1', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1002,"['10', '18']",Tweis yahudi Bleping muslim Nujins hindu Anzegom jepang,,Jewish,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1003,"['10', '18']",Paus Fransiskus Memulai Kunjungan Sederhana Ke Umat Katolik di Mongolia yang Beragama Buddha,,Kristen,"['1', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1004,"['10', '18']","Masyarakat Kristen, Hindu, Budha, dan etnis Tionghoa di Jatim berharap Prabowo memenangkan Pilpres 2024. dekade08",,"Kristen, Tionghoa","['0', '0']","['1', '0']","['0', '0']","['1', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1005,"['10', '18']",Cina Mengirimkan Satelit Penginderaan Jauh Baru Ke Orbit Yang Direncanakan #MataDunia #technology #china #Aerospace #orbit #sunak #Hindu #newdelhi #india,,Tionghoa,"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1006,"['10', '18']","Ganjar-Mahfud adl wajah TOLERANSI di Indonesia 57,7% pemilih dari agama Kristen, Hindu, Budha, Katolik dan Kog Hu Chu menyatakan dukungannya utk Ganjar Pranowo Apalagi Ganjar sukses membawa Jateng jadi daerah Toleran, 5 dari 10 kota toleran ada di Jateng #GanjarMahfud2024",,Kristen,"['0', '0']","['1', '1']","['0', '0']","['1', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
