batch_id,batch_text_id,text_id,metadata_id,annotator_id,text,initial_paragraph,topic,is_noise_or_spam_text,related_to_election_2024,toxicity,profanity_obscenity,threat_incitement_to_violence,insults,identity_attack,sexually_explicit,category_count
2,1,2-1,123632,20,"Kemaren mas sepupuku tegang bgt dari awal. Padahal pagi buta dia yg masih sarungan mukanya sumringah bgt, pas akad ga ada ekspresi samsek. Baru senyum lebar bgt pas disuruh nunjukin buku nikah",,Disabilitas,0,0,0,0,0,0,0,0,0
2,2,2-2,265496,20,"Yesaya 45:25 (TB) tetapi seluruh keturunan Israel akan nyata benar dan akan bermegah di dalam TUHAN.""",,Jewish,0,0,0,0,0,0,0,0,0
2,3,2-3,86783,20,China tuding AS bantu 'provokasi' Filipina di Laut China Selatan,,"Terpolarisasi, Tionghoa",0,0,0,0,0,0,0,0,0
2,4,2-4,98620,20,"Gua ragu Israel (“negara”) yang kita lihat sekarang di TV, sosmed, dll itu adalah Israel yang dimaksud di Alkitab Kenapa bela genosida mati-matian? Bukannya tuhan mengajar kasihilah sesamamu seperti kau mengasihi dirimu sendiri?",,"Terpolarisasi, Jewish",0,0,1,0,0,0,1,0,1
2,5,2-5,12869,20,SENENG BGTT BELIAU BIKIN GUE GILA YA ALLAH 😭😭😭😭😭,,Disabilitas,1,0,0,0,0,0,0,0,0
2,6,2-6,43631,20,Han Hyo Joo at the 28th Busan international Film Festival #HanHyoJoo #BusanInternationalFilmFestival,,Jewish,1,0,0,0,0,0,0,0,0
2,7,2-7,28262,20,"Biaya Proyek KCJB Membengkak Luar Biasa, IDEAS: Kita Masuk dalam Jebakan Utang China",,"Terpolarisasi, Tionghoa",0,0,1,0,0,0,1,0,1
2,8,2-8,133607,20,YENI WAHED agama KRISTEN,,"Kristen, Terpolarisasi",0,0,1,0,0,0,1,0,1
2,9,2-9,5741,20,wah gila originote bgs bget,,Disabilitas,0,0,0,0,0,0,0,0,0
2,10,2-10,66985,20,RAKYAT JEMAAH DUKUNG PRESIDEN ANIES RETWEET MENANGKAN Rp165K CENTANG BIRU #AniesMuhaimin2024 UIN Jambi Udang #lokercot Tidur Daddies Gibran Jam 3 Kairi Pasumi PAMALI DUSUN POCONG Onic Kebangun Ngejar Disimpen Acel Ini X Semanga PSS Sleman #CutieSexyLovelyJimin Gaza Israel #crypto…,,"Terpolarisasi, Jewish",0,1,0,0,0,0,0,0,0
2,11,2-11,147035,20,"Pendukung Prabowo Gibran mengatakan jgn mempersoalkan keputusan MK, lebih baik adu gagasan dan ide, ini membuktikan mereka juga mengakui bahwa pencawapresan Gibran cacat moral dan hukum, mana ada ide dan gagasan yg bagus dari cawapres yg cacat hukum dan moral. #GanjarMahfud2024",,"Disabilitas, Terpolarisasi",0,1,1,0,0,1,0,0,1
2,12,2-12,103642,20,Saatnya short #BTC di #TRADINGFUTURES sebelum #bitcoin #HALVING Terbang gila gilaan,,Disabilitas,0,0,0,0,0,0,0,0,0
2,13,2-13,18506,20,"Untung tiap minggu, kalo tiap hari bisa aja sih. BISA GILA hahahahaha😭",,Disabilitas,1,0,0,0,0,0,0,0,0
2,14,2-14,66767,20,pengen beli case hp ug lucu2 dr china ternyata yg dr china udah ga boleh masuk sopi ya? sedih bgt😔,,Tionghoa,0,0,0,0,0,0,0,0,0
2,15,2-15,121145,20,"Suka ngajarin dan wawasan nya luas banget parah, first impresion ke orang China bagus buangetttt",,Tionghoa,0,0,0,0,0,0,0,0,0
2,16,2-16,28255,20,HT: Chinese Taipei 0-0 Indonesia #AsianGames2023 #TimnasDay,,Tionghoa,0,0,0,0,0,0,0,0,0
2,17,2-17,154297,20,"Bukannya beli vc jeketi malah beli vc up girl, agak gila tp males debat dan marah marah sama manajemen tuli aja sih. Menjaga mood selama kerja dan tidak menambah dosa👍",,"Disabilitas, Terpolarisasi",0,0,1,0,0,1,0,0,1
2,18,2-18,55529,20,israel punya play victim buat aku rasa jijik and jengkel sangat,,"Terpolarisasi, Jewish",0,0,1,1,0,0,0,0,1
2,19,2-19,123257,20,Nazi Hitler 6 Tahun Zionis ‘Israel’ 75 Tahun #FreePalestine #GazaGarisPertahananKita #GazaGenocide,,"Terpolarisasi, Jewish",0,0,1,0,1,0,0,0,1
2,20,2-20,97913,20,"""Makanya saya juga punya ide suatu hari saya akan ajak beberapa tokoh untuk datang ke Palestina menjadi mediator sipil supaya hentikan perang hentikan korban perempuan dan anak-anak,"" Cak Imin Sebut PBB Tak Bisa Diharapkan Lagi Damaikan Israel",,"Terpolarisasi, Jewish",0,0,1,0,0,0,1,0,1
2,21,2-21,55053,20,"Bermarkas di Bandara Ben Gurion, Inilah El Al, Maskapai Nasional Israel dengan Awak Kabin Wajib Berdinas Militer",,Jewish,0,0,0,0,0,0,0,0,0
2,22,2-22,40650,20,gila baksu kerasa beda bgt pas era ideal cut sama power of love 😭😭😭😭😭,,Disabilitas,0,0,0,0,0,0,0,0,0
2,23,2-23,69996,20,Marshanda Hujan #BABYMONSTER PARK JIMIN gdragon The Fact Music Awards Israel Dalem Sayang #BAESUZY SVT TMA2023 RED CARPET Icha moonbyul #ReadyForBABYMONS7ER bambam Allahu Akbar BONA BONA ON TMA #FANFESTinJP23 10 Oktober Nabi Isa THE TRUTH UNTOLD https://18.224.0.22/gacor77/,,Jewish,1,0,0,0,0,0,0,0,0
2,24,2-24,29985,20,Capek bgt punya adek sepupu yang ngajakin nikah mulu. Orgil,,Disabilitas,0,0,1,0,0,1,0,0,1
2,25,2-25,40476,20,SUMPAH LEE MINKI HENSEM GILA SUMPAHHHH,,Disabilitas,0,0,0,0,0,0,0,0,0
2,26,2-26,73569,20,Kucing orang pd gendut gendut dikasih apa sih,,Disabilitas,0,0,0,0,0,0,0,0,0
2,27,2-27,56338,20,Dasar yahudi hahah. Nak gain simpati la tu,,"Terpolarisasi, Jewish",0,0,1,0,0,0,1,0,1
2,28,2-28,151286,20,"Rakyat memilih pemimpin yang mereka percayai, bukan yang hanya gila kuasa @akbarryaz",,Disabilitas,0,1,0,0,0,0,0,0,0
2,29,2-29,143172,20,"Terkutuklah Negara Zionis Israel dan pendukungnya dimanapun, khususnya di negara kita, semoga saudara kita di Palestina selalu dalam lindungan Allah dan segera merdeka #FreePalestine #israelterroriststate #IndonesiaBelaPalestina #Palestinamerdeka",,"Terpolarisasi, Jewish",0,0,1,0,0,0,1,0,1
2,30,2-30,9913,20,GILA BENERAN SUMPAH GILAAAA 😭😭,,Disabilitas,0,0,0,0,0,0,0,0,0
2,31,2-31,117273,20,Ni org yg ee ga dibanjur kayanya titisan zionis,,"Terpolarisasi, Jewish",0,0,1,1,0,1,0,0,2
2,32,2-32,18226,20,"UNDANGAN WEBINAR ""SELAMAT DATANG TAHUN POLITIK 2024, JANGAN HANYA PERBEDAAN PILIHAN KITA KEHILANGAN KERABAT & SAHABAT"" Minggu, 17 Sept 2023 Pukul 14.00 WIB Merbabu - Menag - Tifa Tolol - Fajri - Alkohol 70% - Rempang - Miring - ODGJ - Cawapres - Batik Air - Kapolsek",,Disabilitas,0,1,0,0,0,0,0,0,0
2,33,2-33,60717,20,Jumlah Korban Jiwa Perang Israel VS Hamas Terus Bertambah hingga Hari Keempat,,Jewish,0,0,0,0,0,0,0,0,0
2,34,2-34,75405,20,"Karomahnya bisa macem2, ntr di kirim ke palestina bingung minta pulang. Gak sudah2 menghayalnya, situ ngomong bener saja org kira lu lg ngigau, krn org terbiasa lihat kamu cerita dongeng jd org ragu2 mau percaya. Mendongeng kok dlm agama, emng sdh buta sama azab Allah ﷻ ☝️",,"Disabilitas, Terpolarisasi",0,0,1,0,0,1,0,0,1
2,35,2-35,36290,20,"lil 7 yg pake ava jm pada keluar lah kalian dari fandom ini fandom bajingan bgt sama jm, pada buta apa??? keluar dari fandom dan jangan hate member tapi hate army dgn kedok ot7",,"Disabilitas, Terpolarisasi",0,0,1,1,0,1,0,0,2
